#,POS Type,POS Version
1124,Infor,6.8.0.101
1125,InforDDI is connected to the POS but there is no POS info reported. This is most likely an Infor store.i,Pending Connection
1151,Infor,6.8.0.101
1214,Infor,6.8.0.101
1301,InforDDI is connected to the POS but there is no POS info reported. This is most likely an Infor store.i,Pending Connection
1622,Infor,6.8.0.101
1707,Infor,6.8.0.101
1731,Infor,6.8.0.101
2187,Infor,6.8.0.101
2621,InforDDI is connected to the POS but there is no POS info reported. This is most likely an Infor store.i,Pending Connection
2764,Infor,6.8.0.101
2945,Infor,6.8.0.101
3167,Infor,6.8.0.101
3267,Infor,6.8.0.101
3730,Infor,6.8.0.101
3786,Infor,6.8.0.101
3808,Infor,6.8.0.101
3941,Infor,6.8.0.101
4100,Infor,6.8.0.101
4295,Infor,6.8.0.101
4357,Infor,6.8.0.101
4378,Infor,6.8.0.101
4557,InforDDI is connected to the POS but there is no POS info reported. This is most likely an Infor store.i,Pending Connection
5267,Infor,6.8.0.101
5365,Infor,6.8.0.101
5656,Infor,6.8.0.101
2276,Infor,6.8.0.101
4824,Infor,6.8.0.101
6395,Infor,6.8.0.101
,,
1004,Infor,6.8.0.101
1012,Infor,6.8.0.101
1016,Infor,6.8.0.101
1031,Infor,6.8.0.101
1035,Infor,6.8.0.101
1065,Infor,6.8.0.101
1075,Infor,6.8.0.101
1081,Infor,6.8.0.101
1092,Infor,6.8.0.101
1109,Infor,6.8.0.101
1112,Infor,6.8.0.101
1119,Infor,6.8.0.101
1127,Infor,6.8.0.101
1137,Infor,6.8.0.101
1140,Infor,6.8.0.101
1148,Infor,6.8.0.101
1158,Infor,6.8.0.101
1164,Infor,6.8.0.101
1172,Infor,6.8.0.101
1176,Infor,6.8.0.101
1177,Infor,6.8.0.101
1186,Infor,6.8.0.101
1187,Infor,6.8.0.101
1193,Infor,6.8.0.101
1195,Infor,6.8.0.101
1196,Infor,6.8.0.101
1202,Infor,6.8.0.101
1213,Infor,6.8.0.101
1224,Infor,6.8.0.101
1228,Infor,6.8.0.101
1248,Infor,6.8.0.101
1250,Infor,6.8.0.101
1255,Infor,6.8.0.101
1257,Infor,6.8.0.101
1261,Infor,6.8.0.101
1266,Infor,6.8.0.101
1276,Infor,6.8.0.101
1278,Infor,6.8.0.101
1285,Infor,6.8.0.101
1287,Infor,6.8.0.101
1304,Infor,6.8.0.101
1322,Infor,6.8.0.101
1495,Infor,6.8.0.101
1498,Infor,6.8.0.101
1501,InforDDI is connected to the POS but there is no POS info reported. This is most likely an Infor store.i,Pending Connection
1502,Infor,6.8.0.101
1511,Infor,6.8.0.101
1517,Infor,6.8.0.101
1525,Infor,6.8.0.101
1527,Infor,6.8.0.101
1533,Infor,6.8.0.101
1592,Infor,6.8.0.101
1603,Infor,6.8.0.101
1604,Infor,6.8.0.101
1606,Infor,6.8.0.101
1608,Infor,6.8.0.101
1616,Infor,6.8.0.101
1619,Infor,6.8.0.101
1624,Infor,6.8.0.101
1625,Infor,6.8.0.101
1627,Infor,6.8.0.101
1629,Infor,6.8.0.101
1644,Infor,6.8.0.101
1681,Infor,6.8.0.101
1686,Infor,6.8.0.101
1689,Infor,6.8.0.101
1696,Infor,6.8.0.101
1716,Infor,6.8.0.101
1724,Infor,6.8.0.101
1732,Infor,6.8.0.101
1752,Infor,6.8.0.101
1767,Infor,6.8.0.101
1804,Infor,6.8.0.101
1807,Infor,6.8.0.101
1825,Infor,6.8.0.101
1827,Infor,6.8.0.101
1831,Infor,6.8.0.101
1833,Infor,6.8.0.101
1834,Infor,6.8.0.101
1836,Infor,6.8.0.101
1854,Infor,6.8.0.101
1857,Infor,6.8.0.101
1864,Infor,6.8.0.101
1866,Infor,6.8.0.101
1867,Infor,6.8.0.101
1870,Infor,6.8.0.101
1875,Infor,6.8.0.101
1878,Infor,6.8.0.101
1889,Infor,6.8.0.101
1895,Infor,6.8.0.101
1902,Infor,6.8.0.101
1911,Infor,6.8.0.101
1915,Infor,6.8.0.101
1917,Infor,6.8.0.101
1919,Infor,6.8.0.101
1931,Infor,6.8.0.101
1932,Infor,6.8.0.101
1933,Infor,6.8.0.101
